FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
23367,2021,JULIO,2021-07-31,SÁBADO,08:43:00,ESTRELLAMIENTO,AMP,RUTINA,COLONIA,CUAUHTEMOC,CALLE,MUNICH Y NOGALAR,"25.728658,-100.301883"
25500,2021,NOVIEMBRE,2021-11-22,LUNES,17:39:00,ALCANCE,FINIQUITADO,911,COLONIA,LA FE,AVENIDA,ROMULO G Y MIGUEL ALEMAN,"25.72448,-100.214115"
20139,2021,MARZO,2021-03-31,MIÉRCOLES,20:23:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,NOGALAR Y MUNICH,"25.728658,-100.301883"
23147,2021,JULIO,2021-07-31,SÁBADO,11:10:00,CRUCERO,FINIQUITADO,911,COLONIA,EL ROBLE,CALLE,18 DE DICIEMBRE Y 15 DE AGOSTO,"25.742755,-100.306665"
25925,2021,NOVIEMBRE,2021-11-23,MARTES,07:15:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,VILLAS DE SAN CRISTOBAL,AVENIDA,MIGUEL ALEMAN Y CASA BCA,"25.733186,-100.209479"
20313,2021,MARZO,2021-03-31,MIÉRCOLES,12:38:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDEL VZZ Y FRAY LUIS DE LEON,"25.730775,-100.309218"
23257,2021,JULIO,2021-07-31,SÁBADO,11:54:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,NOGALAR Y NOGALAR SUR,"25.730399,-100.303178"
26141,2021,NOVIEMBRE,2021-11-23,MARTES,08:15:00,CRUCERO,FINIQUITADO,RUTINA,COLONIA,JARDINES DE ANAHUAC,AVENIDA,2DA  AVENIDA Y PRINCIPAL NTE,"25.730537,-100.274903"
19963,2021,MARZO,2021-03-31,MIÉRCOLES,11:22:00,DIVERSO,PERITAJES,RUTINA,COLONIA,ANAHUAC,CALLE,FCO VILLA ESPESA Y PALACIO DE JUSTICIA,"25.733307,-100.315409"
23148,2021,JULIO,2021-07-31,SÁBADO,12:20:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDLE VELAZQUEZ Y FRAY LUIS DE LEON,"25.730775,-100.309218"
25372,2021,NOVIEMBRE,2021-11-23,MARTES,08:35:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,NOGALAR Y  FAMOSA,"25.726338,-100.298384"
23039,2021,JULIO,2021-07-31,SÁBADO,14:39:00,CRUCERO,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,CALLE,PALACIO DE JUSTICIA Y RAMON DE CAMPOAMOR,"25.733691,-100.313959"
26787,2021,NOVIEMBRE,2021-11-23,MARTES,08:55:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,EL ROBLE,AVENIDA,MANUEL L. BARRAGAN Y FRAY  BARTOLOME DE LAS CASA,"25.746297,-100.300455"
23537,2021,JULIO,2021-07-31,SÁBADO,14:39:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,CALLE,DEL BOSQUE Y CRISTINA LARRALDE,"25.733528,-100.30282"
26688,2021,NOVIEMBRE,2021-11-23,MARTES,10:00:00,ESTRELLAMIENTO DERIVE DE CABLES,PERITAJES,RUTINA,COLONIA,LA FE,AVENIDA,PTO.DE GUAYMAS Y PTO PRORESO,"25.728629,-100.205912"
22340,2021,JULIO,2021-07-31,SÁBADO,16:25:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,LOS LAURELES,AVENIDA,ROMULO GZA Y LAURELES,"25.720195,-100.23312"
26142,2021,NOVIEMBRE,2021-11-23,MARTES,11:45:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,FUTURO NOGALAR,AVENIDA,LOPEZ MATEOS Y NOGALAR,"25.711209,-100.277666"
22319,2021,JULIO,2021-07-31,SÁBADO,22:11:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,CARMEN ROMANO,AVENIDA,IRLANDESES Y ROMANOS,"25.727491,-100.274117"
26671,2021,NOVIEMBRE,2021-11-23,MARTES,12:20:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,CABECERA MUNICIPAL,AVENIDA,UNIVERSIDAD Y CUAUHTEMOC,"25.759293,-100.287195"
22321,2021,AGOSTO,2021-08-01,DOMINGO,01:52:00,ALCANCE,FINIQUITADO,C4,COLONIA,CARMEN ROMANO,AVENIDA,DIEGO DIAZ DE BERLANGA Y CHINOS,"25.726814,-100.276488"
